1.61E+05,44.625
1.61E+05,44.8
1.62E+05,44.975
1.63E+05,45.15
1.63E+05,45.325
1.64E+05,45.5
1.64E+05,45.675
1.65E+05,45.85
1.66E+05,46.025
1.66E+05,46.2
1.67E+05,46.375
1.68E+05,46.55
1.68E+05,46.725
1.69E+05,46.9
1.69E+05,47.075
1.70E+05,47.25
1.71E+05,47.425
1.71E+05,47.6
1.72E+05,47.775
1.73E+05,47.95
1.73E+05,48.125
1.74E+05,48.3
1.75E+05,48.475
1.75E+05,48.65
1.76E+05,48.825
1.76E+05,49
1.77E+05,49.175
1.78E+05,49.35
1.78E+05,49.525
1.79E+05,49.7
1.80E+05,49.875
1.80E+05,50.05
1.81E+05,50.225
1.81E+05,50.4
1.82E+05,50.575
1.83E+05,50.75
1.83E+05,50.925
1.84E+05,51.1
1.85E+05,51.275
1.85E+05,51.45
1.86E+05,51.625
1.86E+05,51.8
1.87E+05,51.975
1.88E+05,52.15
1.88E+05,52.325
1.89E+05,52.5
1.90E+05,52.675
1.90E+05,52.85
1.91E+05,53.025
1.92E+05,53.2
1.92E+05,53.375
1.93E+05,53.55
1.93E+05,53.725
1.94E+05,53.9
1.95E+05,54.075
1.95E+05,54.25
1.96E+05,54.425
1.97E+05,54.6
1.97E+05,54.775
1.98E+05,54.95
1.98E+05,55.125
1.99E+05,55.3
2.00E+05,55.475
2.00E+05,55.65
2.01E+05,55.825
2.02E+05,56
2.02E+05,56.175
2.03E+05,56.35
2.03E+05,56.525
2.04E+05,56.7
2.05E+05,56.875
2.05E+05,57.05
2.06E+05,57.225
2.07E+05,57.4
2.07E+05,57.575
2.08E+05,57.75
2.09E+05,57.925
2.09E+05,58.1
2.10E+05,58.275
2.10E+05,58.45
2.11E+05,58.625
2.12E+05,58.8
2.12E+05,58.975
2.13E+05,59.15
2.14E+05,59.325
2.14E+05,59.5
2.15E+05,59.675
2.15E+05,59.85
2.16E+05,60.025
2.17E+05,60.2
2.17E+05,60.375
2.18E+05,60.55
2.19E+05,60.725
2.19E+05,60.9
2.20E+05,61.075
2.21E+05,61.25
2.21E+05,61.425
2.22E+05,61.6
2.22E+05,61.775
2.23E+05,61.95
2.24E+05,62.125
2.24E+05,62.3
2.25E+05,62.475
