s,C,C
Time,"Back","Front"
 6.6780000E+004, 5.0080932E+001, 1.4236392E+002
 6.7410000E+004, 5.0526742E+001, 1.4240473E+002
 6.8040000E+004, 5.0971404E+001, 1.4244513E+002
 6.8670000E+004, 5.1414883E+001, 1.4248514E+002
 6.9300000E+004, 5.1857149E+001, 1.4252478E+002
 6.9930000E+004, 5.2298170E+001, 1.4256404E+002
 7.0560000E+004, 5.2737918E+001, 1.4260295E+002
 7.1190000E+004, 5.3176367E+001, 1.4264151E+002
 7.1820000E+004, 5.3613490E+001, 1.4267973E+002
 7.2450000E+004, 5.4049265E+001, 1.4271761E+002
 7.3080000E+004, 5.4483667E+001, 1.4275517E+002
 7.3710000E+004, 5.4916677E+001, 1.4279241E+002
 7.4340000E+004, 5.5348273E+001, 1.4282934E+002
 7.4970000E+004, 5.5778437E+001, 1.4286597E+002
 7.5600000E+004, 5.6207150E+001, 1.4290230E+002
 7.6230000E+004, 5.6634397E+001, 1.4293834E+002
 7.6860000E+004, 5.7060162E+001, 1.4297410E+002
 7.7490000E+004, 5.7484430E+001, 1.4300958E+002
 7.8120000E+004, 5.7907187E+001, 1.4304479E+002
 7.8750000E+004, 5.8328420E+001, 1.4307973E+002
 7.9380000E+004, 5.8748119E+001, 1.4311442E+002
 8.0010000E+004, 5.9166271E+001, 1.4314884E+002
 8.0640000E+004, 5.9582866E+001, 1.4318302E+002
 8.1270000E+004, 5.9997896E+001, 1.4321695E+002
 8.1900000E+004, 6.0411351E+001, 1.4325065E+002
 8.2530000E+004, 6.0823223E+001, 1.4328410E+002
 8.3160000E+004, 6.1233505E+001, 1.4331733E+002
 8.3790000E+004, 6.1642190E+001, 1.4335032E+002
 8.4420000E+004, 6.2049273E+001, 1.4338310E+002
 8.5050000E+004, 6.2454747E+001, 1.4341565E+002
 8.5680000E+004, 6.2858608E+001, 1.4344799E+002
 8.6310000E+004, 6.3260852E+001, 1.4348011E+002
 8.6940000E+004, 6.3661474E+001, 1.4351203E+002
 8.7570000E+004, 6.4060471E+001, 1.4354374E+002
 8.8200000E+004, 6.4457841E+001, 1.4357525E+002
 8.8830000E+004, 6.4853580E+001, 1.4360656E+002
 8.9460000E+004, 6.5247688E+001, 1.4363767E+002
 9.0090000E+004, 6.5640161E+001, 1.4366859E+002
 9.0720000E+004, 6.6030999E+001, 1.4369932E+002
 9.1350000E+004, 6.6420202E+001, 1.4372987E+002
 9.1980000E+004, 6.6807768E+001, 1.4376023E+002
 9.2610000E+004, 6.7193698E+001, 1.4379040E+002
 9.3240000E+004, 6.7577991E+001, 1.4382040E+002
 9.3870000E+004, 6.7960649E+001, 1.4385022E+002
 9.4500000E+004, 6.8341671E+001, 1.4387987E+002
 9.5130000E+004, 6.8721060E+001, 1.4390934E+002
 9.5760000E+004, 6.9098816E+001, 1.4393865E+002
 9.6390000E+004, 6.9474940E+001, 1.4396778E+002
 9.7020000E+004, 6.9849436E+001, 1.4399675E+002
 9.7650000E+004, 7.0222304E+001, 1.4402555E+002
 9.8280000E+004, 7.0593547E+001, 1.4405420E+002
 9.8910000E+004, 7.0963168E+001, 1.4408268E+002
 9.9540000E+004, 7.1331170E+001, 1.4411100E+002
 1.0017000E+005, 7.1697554E+001, 1.4413917E+002
 1.0080000E+005, 7.2062325E+001, 1.4416718E+002
 1.0143000E+005, 7.2425485E+001, 1.4419504E+002
 1.0206000E+005, 7.2787038E+001, 1.4422275E+002
 1.0269000E+005, 7.3146988E+001, 1.4425030E+002
 1.0332000E+005, 7.3505338E+001, 1.4427771E+002
 1.0395000E+005, 7.3862092E+001, 1.4430497E+002
 1.0458000E+005, 7.4217254E+001, 1.4433209E+002
 1.0521000E+005, 7.4570827E+001, 1.4435906E+002
 1.0584000E+005, 7.4922818E+001, 1.4438589E+002
 1.0647000E+005, 7.5273229E+001, 1.4441258E+002
 1.0710000E+005, 7.5622065E+001, 1.4443913E+002
 1.0773000E+005, 7.5969331E+001, 1.4446553E+002
 1.0836000E+005, 7.6315031E+001, 1.4449181E+002
 1.0899000E+005, 7.6659170E+001, 1.4451794E+002
 1.0962000E+005, 7.7001753E+001, 1.4454394E+002
 1.1025000E+005, 7.7342785E+001, 1.4456981E+002
 1.1088000E+005, 7.7682271E+001, 1.4459554E+002
 1.1151000E+005, 7.8020216E+001, 1.4462114E+002
 1.1214000E+005, 7.8356624E+001, 1.4464661E+002
 1.1277000E+005, 7.8691502E+001, 1.4467195E+002
 1.1340000E+005, 7.9024854E+001, 1.4469716E+002
 1.1403000E+005, 7.9356686E+001, 1.4472224E+002
 1.1466000E+005, 7.9687003E+001, 1.4474720E+002
 1.1529000E+005, 8.0015811E+001, 1.4477203E+002
 1.1592000E+005, 8.0343114E+001, 1.4479674E+002
 1.1655000E+005, 8.0668919E+001, 1.4482132E+002
 1.1718000E+005, 8.0993230E+001, 1.4484578E+002
 1.1781000E+005, 8.1316054E+001, 1.4487012E+002
 1.1844000E+005, 8.1637396E+001, 1.4489434E+002
 1.1907000E+005, 8.1957262E+001, 1.4491844E+002
 1.1970000E+005, 8.2275657E+001, 1.4494241E+002
 1.2033000E+005, 8.2592587E+001, 1.4496627E+002
 1.2096000E+005, 8.2908058E+001, 1.4499001E+002
 1.2159000E+005, 8.3222076E+001, 1.4501364E+002
 1.2222000E+005, 8.3534645E+001, 1.4503715E+002
 1.2285000E+005, 8.3845773E+001, 1.4506054E+002
 1.2348000E+005, 8.4155464E+001, 1.4508382E+002
 1.2411000E+005, 8.4463725E+001, 1.4510698E+002
 1.2474000E+005, 8.4770562E+001, 1.4513003E+002
 1.2537000E+005, 8.5075979E+001, 1.4515297E+002
 1.2600000E+005, 8.5379983E+001, 1.4517580E+002
 1.2663000E+005, 8.5682581E+001, 1.4519851E+002
 1.2726000E+005, 8.5983776E+001, 1.4522112E+002
 1.2789000E+005, 8.6283577E+001, 1.4524361E+002
 1.2852000E+005, 8.6581988E+001, 1.4526600E+002
 1.2915000E+005, 8.6879015E+001, 1.4528827E+002
 1.2978000E+005, 8.7174664E+001, 1.4531044E+002
 1.3041000E+005, 8.7468940E+001, 1.4533251E+002
 1.3104000E+005, 8.7761851E+001, 1.4535446E+002
 1.3167000E+005, 8.8053401E+001, 1.4537632E+002
 1.3230000E+005, 8.8343597E+001, 1.4539806E+002
 1.3293000E+005, 8.8632443E+001, 1.4541970E+002
 1.3356000E+005, 8.8919947E+001, 1.4544124E+002
 1.3419000E+005, 8.9206114E+001, 1.4546267E+002
 1.3482000E+005, 8.9490949E+001, 1.4548400E+002
 1.3545000E+005, 8.9774459E+001, 1.4550523E+002
 1.3608000E+005, 9.0056649E+001, 1.4552636E+002
 1.3671000E+005, 9.0337525E+001, 1.4554738E+002
 1.3734000E+005, 9.0617093E+001, 1.4556831E+002
 1.3797000E+005, 9.0895359E+001, 1.4558913E+002
