s,C,C
Time,"Back","Front"
 2.2750000E+002, 4.8801107E+001, 1.0161067E+002
 2.3000000E+002, 4.9174152E+001, 1.0171476E+002
 2.3200000E+002, 4.9545701E+001, 1.0181805E+002
 2.3400000E+002, 4.9874623E+001, 1.0190918E+002
 2.3600000E+002, 5.0202298E+001, 1.0199969E+002
 2.3850000E+002, 5.0569400E+001, 1.0210077E+002
 2.4050000E+002, 5.0934962E+001, 1.0220112E+002
 2.4250000E+002, 5.1258528E+001, 1.0228968E+002
 2.4500000E+002, 5.1620982E+001, 1.0238861E+002
 2.4700000E+002, 5.1981872E+001, 1.0248685E+002
 2.4900000E+002, 5.2301267E+001, 1.0257356E+002
 2.5100000E+002, 5.2619368E+001, 1.0265973E+002
 2.5350000E+002, 5.2975650E+001, 1.0275602E+002
 2.5550000E+002, 5.3330347E+001, 1.0285165E+002
 2.5750000E+002, 5.3644219E+001, 1.0293610E+002
 2.6000000E+002, 5.3995734E+001, 1.0303047E+002
 2.6200000E+002, 5.4345652E+001, 1.0312423E+002
 2.6400000E+002, 5.4655271E+001, 1.0320703E+002
 2.6600000E+002, 5.4963578E+001, 1.0328933E+002
 2.6850000E+002, 5.5308823E+001, 1.0338134E+002
 2.7050000E+002, 5.5652466E+001, 1.0347276E+002
 2.7250000E+002, 5.5956504E+001, 1.0355351E+002
 2.7500000E+002, 5.6296945E+001, 1.0364380E+002
 2.7700000E+002, 5.6635785E+001, 1.0373352E+002
 2.7900000E+002, 5.6935554E+001, 1.0381278E+002
 2.8100000E+002, 5.7234011E+001, 1.0389159E+002
 2.8350000E+002, 5.7568177E+001, 1.0397972E+002
 2.8550000E+002, 5.7900748E+001, 1.0406731E+002
 2.8750000E+002, 5.8194950E+001, 1.0414471E+002
 2.9000000E+002, 5.8524335E+001, 1.0423126E+002
 2.9200000E+002, 5.8852132E+001, 1.0431729E+002
 2.9400000E+002, 5.9142098E+001, 1.0439331E+002
 2.9650000E+002, 5.9466726E+001, 1.0447834E+002
 2.9850000E+002, 5.9789775E+001, 1.0456286E+002
 3.0050000E+002, 6.0075528E+001, 1.0463756E+002
 3.0250000E+002, 6.0359991E+001, 1.0471186E+002
 3.0500000E+002, 6.0678444E+001, 1.0479496E+002
 3.0700000E+002, 6.0995332E+001, 1.0487758E+002
 3.0900000E+002, 6.1275624E+001, 1.0495061E+002
 3.1150000E+002, 6.1589396E+001, 1.0503229E+002
 3.1350000E+002, 6.1901616E+001, 1.0511351E+002
 3.1550000E+002, 6.2177771E+001, 1.0518530E+002
 3.1750000E+002, 6.2452660E+001, 1.0525672E+002
 3.2000000E+002, 6.2760374E+001, 1.0533660E+002
 3.2200000E+002, 6.3066555E+001, 1.0541605E+002
 3.2400000E+002, 6.3337358E+001, 1.0548627E+002
 3.2650000E+002, 6.3640491E+001, 1.0556483E+002
 3.2850000E+002, 6.3942106E+001, 1.0564295E+002
 3.3050000E+002, 6.4208866E+001, 1.0571201E+002
 3.3250000E+002, 6.4474390E+001, 1.0578071E+002
 3.3500000E+002, 6.4771605E+001, 1.0585758E+002
 3.3700000E+002, 6.5067325E+001, 1.0593403E+002
 3.3900000E+002, 6.5328864E+001, 1.0600161E+002
 3.4150000E+002, 6.5621613E+001, 1.0607723E+002
 3.4350000E+002, 6.5912884E+001, 1.0615243E+002
 3.4550000E+002, 6.6170483E+001, 1.0621891E+002
 3.4750000E+002, 6.6426881E+001, 1.0628506E+002
 3.5000000E+002, 6.6713868E+001, 1.0635907E+002
 3.5200000E+002, 6.6999402E+001, 1.0643268E+002
 3.5400000E+002, 6.7251923E+001, 1.0649776E+002
 3.5650000E+002, 6.7534568E+001, 1.0657059E+002
 3.5850000E+002, 6.7815777E+001, 1.0664301E+002
 3.6050000E+002, 6.8064471E+001, 1.0670705E+002
 3.6300000E+002, 6.8342828E+001, 1.0677870E+002
 3.6500000E+002, 6.8619769E+001, 1.0684997E+002
 3.6700000E+002, 6.8864685E+001, 1.0691299E+002
 3.6900000E+002, 6.9108449E+001, 1.0697569E+002
 3.7150000E+002, 6.9381285E+001, 1.0704585E+002
 3.7350000E+002, 6.9652728E+001, 1.0711564E+002
 3.7550000E+002, 6.9892780E+001, 1.0717734E+002
 3.7800000E+002, 7.0161459E+001, 1.0724639E+002
 3.8000000E+002, 7.0428765E+001, 1.0731507E+002
 3.8200000E+002, 7.0665155E+001, 1.0737580E+002
 3.8400000E+002, 7.0900429E+001, 1.0743623E+002
 3.8650000E+002, 7.1163758E+001, 1.0750386E+002
 3.8850000E+002, 7.1425738E+001, 1.0757112E+002
 3.9050000E+002, 7.1657417E+001, 1.0763060E+002
 3.9300000E+002, 7.1916721E+001, 1.0769716E+002
 3.9500000E+002, 7.2174695E+001, 1.0776336E+002
 3.9700000E+002, 7.2402829E+001, 1.0782190E+002
 3.9900000E+002, 7.2629883E+001, 1.0788016E+002
 4.0150000E+002, 7.2884008E+001, 1.0794535E+002
 4.0350000E+002, 7.3136829E+001, 1.0801020E+002
 4.0550000E+002, 7.3360405E+001, 1.0806755E+002
 4.0800000E+002, 7.3610635E+001, 1.0813172E+002
 4.1000000E+002, 7.3859581E+001, 1.0819555E+002
 4.1200000E+002, 7.4079728E+001, 1.0825199E+002
 4.1400000E+002, 7.4298831E+001, 1.0830816E+002
 4.1650000E+002, 7.4544054E+001, 1.0837103E+002
 4.1850000E+002, 7.4788016E+001, 1.0843356E+002
 4.2050000E+002, 7.5003756E+001, 1.0848885E+002
