s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.110E+03, 6.184E+01,-1.626E+01,-3.049E+01,-1.283E+01, 8.629E-02, 0.000E+00, 0.000E+00, 2.532E+00, 2.339E+00, 1.262E-03, 1.262E-03
 1.120E+03, 6.225E+01,-1.658E+01,-2.986E+01,-1.291E+01, 8.421E-02, 0.000E+00, 0.000E+00, 3.050E+00, 2.984E+00, 1.262E-03, 1.262E-03
 1.130E+03, 6.287E+01,-1.672E+01,-3.432E+01,-1.305E+01, 8.574E-02, 0.000E+00, 0.000E+00,-1.103E+00,-1.117E+00, 1.262E-03, 1.262E-03
 1.140E+03, 6.558E+01,-1.705E+01,-3.536E+01,-1.317E+01, 8.713E-02, 0.000E+00, 0.000E+00, 1.955E-01, 8.919E-02, 1.262E-03, 1.262E-03
 1.150E+03, 6.283E+01,-1.676E+01,-3.370E+01,-1.353E+01, 8.441E-02, 0.000E+00, 0.000E+00,-1.097E+00,-1.074E+00, 1.262E-03, 1.262E-03
 1.160E+03, 6.134E+01,-1.644E+01,-2.700E+01,-1.329E+01, 8.388E-02, 0.000E+00, 0.000E+00, 4.736E+00, 4.697E+00, 1.262E-03, 1.262E-03
 1.170E+03, 6.172E+01,-1.637E+01,-3.124E+01,-1.295E+01, 8.376E-02, 0.000E+00, 0.000E+00, 1.531E+00, 1.242E+00, 1.262E-03, 1.262E-03
 1.180E+03, 6.593E+01,-1.725E+01,-2.941E+01,-1.257E+01, 8.702E-02, 0.000E+00, 0.000E+00, 6.601E+00, 6.793E+00, 1.262E-03, 1.262E-03
 1.190E+03, 6.251E+01,-1.646E+01,-3.164E+01,-1.265E+01, 8.711E-02, 0.000E+00, 0.000E+00, 2.156E+00, 1.836E+00, 1.262E-03, 1.262E-03
 1.200E+03, 6.144E+01,-1.661E+01,-3.281E+01,-1.265E+01, 8.389E-02, 0.000E+00, 0.000E+00,-6.659E-01,-5.465E-01, 1.262E-03, 1.262E-03
 1.210E+03, 6.333E+01,-1.677E+01,-3.738E+01,-1.270E+01, 8.518E-02, 0.000E+00, 0.000E+00,-3.326E+00,-3.444E+00, 1.262E-03, 1.262E-03
 1.220E+03, 6.199E+01,-1.648E+01,-2.984E+01,-1.267E+01, 8.166E-02, 0.000E+00, 0.000E+00, 2.992E+00, 3.091E+00, 1.262E-03, 1.262E-03
 1.230E+03, 6.375E+01,-1.674E+01,-3.402E+01,-1.274E+01, 8.704E-02, 0.000E+00, 0.000E+00, 1.578E+00, 3.394E-01, 1.262E-03, 1.262E-03
 1.240E+03, 6.456E+01,-1.704E+01,-3.529E+01,-1.282E+01, 8.650E-02, 0.000E+00, 0.000E+00,-4.449E-01,-4.916E-01, 1.262E-03, 1.262E-03
 1.250E+03, 6.129E+01,-1.684E+01,-3.240E+01,-1.319E+01, 8.318E-02, 0.000E+00, 0.000E+00,-1.544E+00,-1.046E+00, 1.262E-03, 1.262E-03
 1.260E+03, 6.275E+01,-1.659E+01,-2.561E+01,-1.335E+01, 8.365E-02, 0.000E+00, 0.000E+00, 7.463E+00, 7.279E+00, 1.262E-03, 1.262E-03
 1.270E+03, 6.581E+01,-1.720E+01,-3.262E+01,-1.287E+01, 8.504E-02, 0.000E+00, 0.000E+00, 3.663E+00, 3.206E+00, 1.262E-03, 1.262E-03
 1.280E+03, 6.133E+01,-1.645E+01,-2.904E+01,-1.326E+01, 9.133E-02, 0.000E+00, 0.000E+00, 2.577E+00, 2.670E+00, 1.262E-03, 1.262E-03
 1.290E+03, 5.962E+01,-1.629E+01,-3.567E+01,-1.385E+01, 8.542E-02, 0.000E+00, 0.000E+00,-5.920E+00,-6.104E+00, 1.262E-03, 1.262E-03
 1.300E+03, 6.458E+01,-1.732E+01,-3.322E+01,-1.449E+01, 8.294E-02, 0.000E+00, 0.000E+00,-1.773E-01,-3.660E-01, 1.262E-03, 1.262E-03
 1.310E+03, 6.493E+01,-1.718E+01,-3.234E+01,-1.386E+01, 8.387E-02, 0.000E+00, 0.000E+00, 1.749E+00, 1.635E+00, 1.262E-03, 1.262E-03
 1.320E+03, 6.209E+01,-1.665E+01,-3.829E+01,-1.309E+01, 8.771E-02, 0.000E+00, 0.000E+00,-6.003E+00,-5.859E+00, 1.262E-03, 1.262E-03
 1.330E+03, 6.291E+01,-1.674E+01,-2.686E+01,-1.351E+01, 8.469E-02, 0.000E+00, 0.000E+00, 5.807E+00, 5.884E+00, 1.262E-03, 1.262E-03
 1.340E+03, 6.345E+01,-1.690E+01,-3.416E+01,-1.342E+01, 8.531E-02, 0.000E+00, 0.000E+00,-8.692E-01,-9.410E-01, 1.262E-03, 1.262E-03
 1.350E+03, 6.509E+01,-1.737E+01,-3.409E+01,-1.300E+01, 8.725E-02, 0.000E+00, 0.000E+00, 5.125E-01, 7.183E-01, 1.262E-03, 1.262E-03
 1.360E+03, 6.442E+01,-1.718E+01,-3.638E+01,-1.256E+01, 8.619E-02, 0.000E+00, 0.000E+00,-1.676E+00,-1.612E+00, 1.262E-03, 1.262E-03
 1.370E+03, 6.212E+01,-1.649E+01,-2.776E+01,-1.245E+01, 8.503E-02, 0.000E+00, 0.000E+00, 5.400E+00, 5.510E+00, 1.262E-03, 1.262E-03
 1.380E+03, 6.145E+01,-1.632E+01,-2.866E+01,-1.252E+01, 8.683E-02, 0.000E+00, 0.000E+00, 4.246E+00, 4.035E+00, 1.262E-03, 1.262E-03
 1.390E+03, 6.189E+01,-1.666E+01,-3.764E+01,-1.268E+01, 9.129E-02, 0.000E+00, 0.000E+00,-4.684E+00,-4.997E+00, 1.262E-03, 1.262E-03
 1.400E+03, 6.415E+01,-1.697E+01,-3.536E+01,-1.339E+01, 8.577E-02, 0.000E+00, 0.000E+00,-1.387E+00,-1.480E+00, 1.262E-03, 1.262E-03
