s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 8.9224052E+000, 3.8902284E+001,-9.0178529E+000,-3.6477461E+001,-4.4769173E-002, 4.6654173E-001, 0.0000000E+000, 0.0000000E+000,-6.4788888E+000,-6.1712574E+000, 7.9903461E-004, 7.9903461E-004
 8.9618750E+000, 4.3436932E+001,-1.0533433E+001,-3.2567778E+001,-1.9957045E-002, 4.6881991E-001, 0.0000000E+000, 0.0000000E+000, 6.9054841E-001, 7.8458321E-001, 7.9903461E-004, 7.9903461E-004
 9.0005035E+000, 3.8597816E+001,-9.1843282E+000,-3.5784230E+001,-1.6629588E-002, 4.8067857E-001, 0.0000000E+000, 0.0000000E+000,-4.9775651E+000,-5.9066937E+000, 7.9903461E-004, 7.9903461E-004
 9.0423794E+000, 3.8000328E+001,-8.8362867E+000,-4.3359442E+001,-3.1647776E-002, 4.7823163E-001, 0.0000000E+000, 0.0000000E+000,-1.4201968E+001,-1.3748817E+001, 7.9903462E-004, 7.9903462E-004
 9.0830231E+000, 3.7902374E+001,-9.1336585E+000,-3.3716806E+001,-2.2684797E-002, 4.8599863E-001, 0.0000000E+000, 0.0000000E+000,-4.5977857E+000,-4.4847774E+000, 7.9903462E-004, 7.9903462E-004
 9.1202803E+000, 3.6781405E+001,-8.7046175E+000,-3.0500010E+001,-2.2514931E-002, 4.8965187E-001, 0.0000000E+000, 0.0000000E+000,-2.0197560E+000,-1.9560863E+000, 7.9903462E-004, 7.9903462E-004
 9.1612635E+000, 4.4582052E+001,-1.0866564E+001,-3.2706912E+001,-3.8862808E-002, 4.8009321E-001, 0.0000000E+000, 0.0000000E+000, 9.0775308E-001, 1.4498066E+000, 7.9903462E-004, 7.9903462E-004
 9.2022457E+000, 4.7950792E+001,-1.1784192E+001,-3.0461036E+001,-4.9126145E-002, 4.7320808E-001, 0.0000000E+000, 0.0000000E+000, 6.0375143E+000, 6.1296456E+000, 7.9903462E-004, 7.9903462E-004
 9.2432289E+000, 4.2059658E+001,-9.9456661E+000,-2.5494883E+001,-4.1541475E-002, 4.7065541E-001, 0.0000000E+000, 0.0000000E+000, 7.7172804E+000, 7.0482235E+000, 7.9903462E-004, 7.9903462E-004
 9.2820168E+000, 3.4902621E+001,-7.8549306E+000,-2.4610960E+001,-2.0032603E-002, 4.6762947E-001, 0.0000000E+000, 0.0000000E+000, 4.5774997E+000, 2.8843276E+000, 7.9903462E-004, 7.9903462E-004
 9.3214579E+000, 3.5115279E+001,-8.0598371E+000,-2.3842384E+001, 6.2037919E-003, 4.6896269E-001, 0.0000000E+000, 0.0000000E+000, 3.5056026E+000, 3.6882241E+000, 7.9903463E-004, 7.9903463E-004
