m,C,m,m/s,m,kW/m2
tmp-z,tmp,vel-z,vel,rhf-x,rhf
 0.0000000E+000, 7.8280998E+002, 0.0000000E+000, 4.5155518E-002, 2.0000000E-001, 5.2011718E+000
 5.1724138E-002, 8.8124122E+002, 5.1724138E-002, 1.3759880E+000, 2.2412644E-001, 4.2539843E+000
 1.0344828E-001, 9.7490591E+002, 1.0344828E-001, 2.0385057E+000, 2.4825287E-001, 3.4979095E+000
 1.5517241E-001, 9.8080732E+002, 1.5517241E-001, 2.9705204E+000, 2.7237931E-001, 2.8807994E+000
 2.0689655E-001, 9.6483693E+002, 2.0689655E-001, 3.2704570E+000, 2.9650575E-001, 2.3688713E+000
 2.5862069E-001, 9.5126084E+002, 2.5862069E-001, 3.7027990E+000, 3.2063218E-001, 2.3688713E+000
 3.1034483E-001, 9.0696183E+002, 3.1034483E-001, 3.8489929E+000, 3.4475862E-001, 1.9398495E+000
 3.6206897E-001, 8.7916473E+002, 3.6206897E-001, 4.0575405E+000, 3.6888506E-001, 1.5786812E+000
 4.1379310E-001, 8.1395040E+002, 4.1379310E-001, 4.1101655E+000, 3.9301149E-001, 1.5786812E+000
 4.6551724E-001, 7.8040574E+002, 4.6551724E-001, 4.1612802E+000, 4.1713793E-001, 1.2747256E+000
 5.1724138E-001, 7.1228699E+002, 5.1724138E-001, 4.1745917E+000, 4.4126437E-001, 1.0199479E+000
 5.6896552E-001, 6.4071440E+002, 5.6896552E-001, 4.1696010E+000, 4.6539080E-001, 1.0199479E+000
 6.2068966E-001, 6.0310918E+002, 6.2068966E-001, 4.1581940E+000, 4.8951724E-001, 8.0783274E-001
 6.7241379E-001, 5.3333145E+002, 6.7241379E-001, 4.1255343E+000, 5.1364368E-001, 8.0783274E-001
 7.2413793E-001, 5.0219968E+002, 7.2413793E-001, 4.0809024E+000, 5.3777011E-001, 6.3277756E-001
 7.7586207E-001, 4.4727367E+002, 7.7586207E-001, 4.0667058E+000, 5.6189655E-001, 4.8978647E-001
 8.2758621E-001, 4.1824773E+002, 8.2758621E-001, 3.9880723E+000, 5.8602299E-001, 4.8978647E-001
 8.7931034E-001, 3.6187326E+002, 8.7931034E-001, 3.9295859E+000, 6.1014943E-001, 3.7432620E-001
 9.3103448E-001, 3.3858886E+002, 9.3103448E-001, 3.7910998E+000, 6.3427586E-001, 3.7432620E-001
 9.8275862E-001, 2.9885072E+002, 9.8275862E-001, 3.7209007E+000, 6.5840230E-001, 3.7432620E-001
 1.0344828E+000, 2.6776315E+002, 1.0344828E+000, 3.6203312E+000, 6.8252874E-001, 2.8226853E-001
 1.0862069E+000, 2.5447410E+002, 1.0862069E+000, 3.5663199E+000, 7.0665517E-001, 2.8226853E-001
 1.1379310E+000, 2.3215287E+002, 1.1379310E+000, 3.5668317E+000, 7.3078161E-001, 2.0986991E-001
 1.1896552E+000, 2.2276033E+002, 1.1896552E+000, 3.5186052E+000, 7.5490805E-001, 2.0986991E-001
 1.2413793E+000, 2.0492541E+002, 1.2413793E+000, 3.4802122E+000, 7.7903448E-001, 1.5376714E-001
 1.2931034E+000, 1.9705096E+002, 1.2931034E+000, 3.4161037E+000, 8.0316092E-001, 1.5376714E-001
 1.3448276E+000, 1.8281724E+002, 1.3448276E+000, 3.3793539E+000, 8.2728736E-001, 1.5376714E-001
 1.3965517E+000, 1.7617607E+002, 1.3965517E+000, 3.2806917E+000, 8.5141379E-001, 1.1097305E-001
 1.4482759E+000, 1.6436613E+002, 1.4482759E+000, 3.2130477E+000, 8.7554023E-001, 1.1097305E-001
 1.4996667E+000, 1.5851593E+002, 1.4996667E+000, 3.0685317E+000, 8.9966667E-001, 1.1097305E-001
