s,C,C
Time,"Back","Front"
 4.9770000E+004, 3.7788683E+001, 1.4105909E+002
 5.0400000E+004, 3.8243911E+001, 1.4111675E+002
 5.1030000E+004, 3.8699927E+001, 1.4117349E+002
 5.1660000E+004, 3.9156609E+001, 1.4122933E+002
 5.2290000E+004, 3.9613839E+001, 1.4128430E+002
 5.2920000E+004, 4.0071505E+001, 1.4133843E+002
 5.3550000E+004, 4.0529500E+001, 1.4139175E+002
 5.4180000E+004, 4.0987721E+001, 1.4144430E+002
 5.4810000E+004, 4.1446071E+001, 1.4149608E+002
 5.5440000E+004, 4.1904454E+001, 1.4154714E+002
 5.6070000E+004, 4.2362782E+001, 1.4159749E+002
 5.6700000E+004, 4.2820968E+001, 1.4164716E+002
 5.7330000E+004, 4.3278932E+001, 1.4169617E+002
 5.7960000E+004, 4.3736595E+001, 1.4174454E+002
 5.8590000E+004, 4.4193882E+001, 1.4179228E+002
 5.9220000E+004, 4.4650722E+001, 1.4183943E+002
 5.9850000E+004, 4.5107048E+001, 1.4188600E+002
 6.0480000E+004, 4.5562795E+001, 1.4193200E+002
 6.1110000E+004, 4.6017902E+001, 1.4197745E+002
 6.1740000E+004, 4.6472308E+001, 1.4202238E+002
 6.2370000E+004, 4.6925960E+001, 1.4206679E+002
 6.3000000E+004, 4.7378803E+001, 1.4211070E+002
 6.3630000E+004, 4.7830787E+001, 1.4215413E+002
 6.4260000E+004, 4.8281863E+001, 1.4219708E+002
 6.4890000E+004, 4.8731986E+001, 1.4223958E+002
 6.5520000E+004, 4.9181112E+001, 1.4228163E+002
 6.6150000E+004, 4.9629201E+001, 1.4232325E+002
 6.6780000E+004, 5.0076212E+001, 1.4236445E+002
 6.7410000E+004, 5.0522108E+001, 1.4240525E+002
 6.8040000E+004, 5.0966854E+001, 1.4244564E+002
 6.8670000E+004, 5.1410416E+001, 1.4248564E+002
 6.9300000E+004, 5.1852763E+001, 1.4252527E+002
 6.9930000E+004, 5.2293865E+001, 1.4256453E+002
 7.0560000E+004, 5.2733692E+001, 1.4260343E+002
 7.1190000E+004, 5.3172219E+001, 1.4264198E+002
 7.1820000E+004, 5.3609419E+001, 1.4268019E+002
 7.2450000E+004, 5.4045269E+001, 1.4271806E+002
 7.3080000E+004, 5.4479746E+001, 1.4275562E+002
 7.3710000E+004, 5.4912829E+001, 1.4279285E+002
 7.4340000E+004, 5.5344497E+001, 1.4282977E+002
 7.4970000E+004, 5.5774732E+001, 1.4286639E+002
 7.5600000E+004, 5.6203515E+001, 1.4290272E+002
 7.6230000E+004, 5.6630831E+001, 1.4293876E+002
 7.6860000E+004, 5.7056663E+001, 1.4297451E+002
 7.7490000E+004, 5.7480998E+001, 1.4300998E+002
 7.8120000E+004, 5.7903821E+001, 1.4304519E+002
 7.8750000E+004, 5.8325119E+001, 1.4308013E+002
 7.9380000E+004, 5.8744881E+001, 1.4311480E+002
 8.0010000E+004, 5.9163096E+001, 1.4314923E+002
 8.0640000E+004, 5.9579753E+001, 1.4318340E+002
 8.1270000E+004, 5.9994843E+001, 1.4321733E+002
 8.1900000E+004, 6.0408358E+001, 1.4325101E+002
 8.2530000E+004, 6.0820289E+001, 1.4328447E+002
 8.3160000E+004, 6.1230629E+001, 1.4331769E+002
 8.3790000E+004, 6.1639372E+001, 1.4335068E+002
 8.4420000E+004, 6.2046510E+001, 1.4338345E+002
 8.5050000E+004, 6.2452040E+001, 1.4341600E+002
 8.5680000E+004, 6.2855956E+001, 1.4344833E+002
 8.6310000E+004, 6.3258253E+001, 1.4348045E+002
 8.6940000E+004, 6.3658928E+001, 1.4351237E+002
 8.7570000E+004, 6.4057978E+001, 1.4354407E+002
 8.8200000E+004, 6.4455399E+001, 1.4357558E+002
 8.8830000E+004, 6.4851189E+001, 1.4360689E+002
 8.9460000E+004, 6.5245346E+001, 1.4363800E+002
 9.0090000E+004, 6.5637869E+001, 1.4366892E+002
 9.0720000E+004, 6.6028756E+001, 1.4369965E+002
 9.1350000E+004, 6.6418006E+001, 1.4373019E+002
 9.1980000E+004, 6.6805619E+001, 1.4376054E+002
 9.2610000E+004, 6.7191596E+001, 1.4379072E+002
 9.3240000E+004, 6.7575935E+001, 1.4382072E+002
 9.3870000E+004, 6.7958637E+001, 1.4385053E+002
 9.4500000E+004, 6.8339704E+001, 1.4388018E+002
 9.5130000E+004, 6.8719137E+001, 1.4390965E+002
 9.5760000E+004, 6.9096936E+001, 1.4393895E+002
 9.6390000E+004, 6.9473103E+001, 1.4396808E+002
 9.7020000E+004, 6.9847641E+001, 1.4399705E+002
 9.7650000E+004, 7.0220551E+001, 1.4402585E+002
