s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.050E+03, 6.462E+01,-1.190E+01,-5.588E+01,-2.497E-01, 8.637E-02, 0.000E+00, 0.000E+00,-2.481E+00,-3.325E+00, 1.262E-03, 1.262E-03
 1.060E+03, 6.279E+01,-1.174E+01,-4.621E+01,-4.999E-01, 8.338E-02, 0.000E+00, 0.000E+00, 4.782E+00, 4.430E+00, 1.262E-03, 1.262E-03
 1.070E+03, 6.281E+01,-1.166E+01,-4.850E+01,-3.925E-01, 8.686E-02, 0.000E+00, 0.000E+00, 2.073E+00, 2.338E+00, 1.262E-03, 1.262E-03
 1.080E+03, 6.295E+01,-1.162E+01,-5.063E+01, 8.362E-02, 8.683E-02, 0.000E+00, 0.000E+00, 5.915E-01, 8.772E-01, 1.262E-03, 1.262E-03
 1.090E+03, 6.460E+01,-1.191E+01,-4.417E+01, 5.233E-01, 8.753E-02, 0.000E+00, 0.000E+00, 9.692E+00, 9.130E+00, 1.262E-03, 1.262E-03
 1.100E+03, 6.362E+01,-1.164E+01,-5.439E+01, 3.247E-01, 8.505E-02, 0.000E+00, 0.000E+00,-1.211E+00,-1.999E+00, 1.262E-03, 1.262E-03
 1.110E+03, 6.087E+01,-1.139E+01,-4.603E+01, 6.420E-01, 8.933E-02, 0.000E+00, 0.000E+00, 4.161E+00, 4.188E+00, 1.262E-03, 1.262E-03
 1.120E+03, 6.690E+01,-1.216E+01,-5.102E+01, 7.783E-01, 9.037E-02, 0.000E+00, 0.000E+00, 5.046E+00, 4.593E+00, 1.262E-03, 1.262E-03
 1.130E+03, 5.540E+01,-1.040E+01,-4.943E+01, 3.796E-01, 8.196E-02, 0.000E+00, 0.000E+00,-4.287E+00,-3.968E+00, 1.262E-03, 1.262E-03
 1.140E+03, 6.838E+01,-1.276E+01,-4.482E+01, 2.880E-01, 8.848E-02, 0.000E+00, 0.000E+00, 1.144E+01, 1.117E+01, 1.262E-03, 1.262E-03
 1.150E+03, 6.368E+01,-1.170E+01,-4.222E+01, 1.609E-01, 8.784E-02, 0.000E+00, 0.000E+00, 1.025E+01, 1.001E+01, 1.262E-03, 1.262E-03
 1.160E+03, 6.102E+01,-1.122E+01,-5.307E+01,-7.478E-02, 8.610E-02, 0.000E+00, 0.000E+00,-3.121E+00,-3.261E+00, 1.262E-03, 1.262E-03
 1.170E+03, 6.479E+01,-1.197E+01,-5.380E+01, 1.017E-01, 9.047E-02, 0.000E+00, 0.000E+00,-8.445E-01,-7.852E-01, 1.262E-03, 1.262E-03
 1.180E+03, 6.162E+01,-1.111E+01,-4.482E+01, 3.352E-01, 8.253E-02, 0.000E+00, 0.000E+00, 6.323E+00, 6.108E+00, 1.262E-03, 1.262E-03
 1.190E+03, 6.297E+01,-1.153E+01,-5.466E+01, 7.637E-01, 8.428E-02, 0.000E+00, 0.000E+00,-2.354E+00,-2.375E+00, 1.262E-03, 1.262E-03
 1.200E+03, 6.591E+01,-1.209E+01,-5.524E+01, 7.746E-01, 9.158E-02, 0.000E+00, 0.000E+00,-6.723E-01,-5.567E-01, 1.262E-03, 1.262E-03
 1.210E+03, 5.867E+01,-1.053E+01,-5.111E+01, 5.405E-01, 8.356E-02, 0.000E+00, 0.000E+00,-2.297E+00,-2.344E+00, 1.262E-03, 1.262E-03
 1.220E+03, 6.367E+01,-1.194E+01,-5.548E+01, 8.519E-01, 8.453E-02, 0.000E+00, 0.000E+00,-2.895E+00,-2.817E+00, 1.262E-03, 1.262E-03
 1.230E+03, 6.687E+01,-1.195E+01,-4.486E+01, 9.510E-01, 9.108E-02, 0.000E+00, 0.000E+00, 1.163E+01, 1.110E+01, 1.262E-03, 1.262E-03
 1.240E+03, 5.941E+01,-1.096E+01,-5.131E+01, 7.274E-01, 8.445E-02, 0.000E+00, 0.000E+00,-2.100E+00,-2.051E+00, 1.262E-03, 1.262E-03
 1.250E+03, 6.193E+01,-1.125E+01,-5.091E+01, 7.791E-01, 8.737E-02, 0.000E+00, 0.000E+00, 6.578E-01, 6.415E-01, 1.262E-03, 1.262E-03
 1.260E+03, 6.547E+01,-1.187E+01,-5.257E+01, 6.098E-01, 8.894E-02, 0.000E+00, 0.000E+00, 1.922E+00, 1.726E+00, 1.262E-03, 1.262E-03
 1.270E+03, 6.275E+01,-1.142E+01,-4.551E+01, 6.352E-01, 8.343E-02, 0.000E+00, 0.000E+00, 6.639E+00, 6.543E+00, 1.262E-03, 1.262E-03
 1.280E+03, 6.003E+01,-1.107E+01,-5.054E+01, 7.868E-01, 8.510E-02, 0.000E+00, 0.000E+00,-1.517E-01,-7.001E-01, 1.262E-03, 1.262E-03
 1.290E+03, 6.526E+01,-1.202E+01,-4.497E+01, 8.064E-01, 8.942E-02, 0.000E+00, 0.000E+00, 9.517E+00, 9.165E+00, 1.262E-03, 1.262E-03
 1.300E+03, 6.248E+01,-1.154E+01,-5.128E+01, 4.199E-01, 8.506E-02, 0.000E+00, 0.000E+00, 4.309E-01, 1.722E-01, 1.262E-03, 1.262E-03
 1.310E+03, 6.333E+01,-1.166E+01,-4.773E+01, 2.959E-01, 8.410E-02, 0.000E+00, 0.000E+00, 3.979E+00, 4.317E+00, 1.262E-03, 1.262E-03
 1.320E+03, 6.513E+01,-1.169E+01,-5.784E+01, 6.797E-01, 9.096E-02, 0.000E+00, 0.000E+00,-3.078E+00,-3.628E+00, 1.262E-03, 1.262E-03
 1.330E+03, 6.063E+01,-1.089E+01,-4.914E+01, 5.285E-01, 8.625E-02, 0.000E+00, 0.000E+00, 1.460E+00, 1.207E+00, 1.262E-03, 1.262E-03
 1.340E+03, 6.430E+01,-1.193E+01,-5.047E+01, 8.802E-01, 9.035E-02, 0.000E+00, 0.000E+00, 2.909E+00, 2.870E+00, 1.262E-03, 1.262E-03
