s,kg/s,kg/s,C,C,m
Time,"DM_in","DM_out","HGL Temp","CGL Temp","HGL Height"
 6.501E+02, 4.822E-01, 5.156E-01, 1.177E+02, 4.051E+01, 1.219E+00
 6.601E+02, 4.901E-01, 5.309E-01, 1.204E+02, 3.964E+01, 1.182E+00
 6.700E+02, 5.023E-01, 5.325E-01, 1.244E+02, 3.865E+01, 1.152E+00
 6.800E+02, 5.068E-01, 5.345E-01, 1.250E+02, 3.741E+01, 1.130E+00
 6.901E+02, 5.032E-01, 5.285E-01, 1.258E+02, 3.586E+01, 1.102E+00
 7.001E+02, 5.035E-01, 5.293E-01, 1.229E+02, 3.642E+01, 1.119E+00
 7.101E+02, 4.949E-01, 5.168E-01, 1.216E+02, 3.682E+01, 1.117E+00
 7.201E+02, 4.779E-01, 5.018E-01, 1.229E+02, 3.743E+01, 1.130E+00
 7.301E+02, 4.624E-01, 4.966E-01, 1.216E+02, 3.810E+01, 1.155E+00
 7.401E+02, 4.685E-01, 4.991E-01, 1.257E+02, 3.845E+01, 1.091E+00
 7.501E+02, 4.630E-01, 5.118E-01, 1.263E+02, 3.854E+01, 1.065E+00
 7.601E+02, 4.817E-01, 5.030E-01, 1.249E+02, 3.856E+01, 1.085E+00
 7.701E+02, 4.882E-01, 5.097E-01, 1.205E+02, 3.657E+01, 1.130E+00
 7.801E+02, 4.881E-01, 5.130E-01, 1.217E+02, 3.574E+01, 1.149E+00
 7.901E+02, 4.743E-01, 5.225E-01, 1.242E+02, 3.620E+01, 1.149E+00
 8.001E+02, 4.732E-01, 4.938E-01, 1.253E+02, 3.741E+01, 1.157E+00
 8.100E+02, 4.710E-01, 4.981E-01, 1.230E+02, 3.822E+01, 1.151E+00
 8.201E+02, 4.853E-01, 5.043E-01, 1.251E+02, 3.883E+01, 1.119E+00
 8.301E+02, 4.864E-01, 5.186E-01, 1.292E+02, 3.949E+01, 1.084E+00
 8.401E+02, 5.047E-01, 5.289E-01, 1.301E+02, 4.015E+01, 1.056E+00
 8.501E+02, 5.287E-01, 5.317E-01, 1.294E+02, 3.930E+01, 1.026E+00
 8.600E+02, 5.148E-01, 5.363E-01, 1.303E+02, 3.852E+01, 1.017E+00
 8.701E+02, 5.026E-01, 5.294E-01, 1.301E+02, 3.631E+01, 9.822E-01
 8.801E+02, 5.058E-01, 5.210E-01, 1.258E+02, 3.684E+01, 1.012E+00
 8.900E+02, 5.132E-01, 5.255E-01, 1.282E+02, 3.909E+01, 1.027E+00
 9.000E+02, 5.137E-01, 5.316E-01, 1.288E+02, 3.993E+01, 1.086E+00
 9.101E+02, 5.128E-01, 5.374E-01, 1.298E+02, 3.863E+01, 1.121E+00
 9.200E+02, 5.238E-01, 5.315E-01, 1.291E+02, 4.067E+01, 1.168E+00
 9.300E+02, 5.149E-01, 5.269E-01, 1.245E+02, 4.144E+01, 1.157E+00
 9.400E+02, 5.075E-01, 5.192E-01, 1.255E+02, 4.070E+01, 1.091E+00
 9.501E+02, 4.991E-01, 5.223E-01, 1.237E+02, 4.062E+01, 1.074E+00
 9.600E+02, 4.991E-01, 5.218E-01, 1.247E+02, 3.939E+01, 1.018E+00
 9.701E+02, 5.076E-01, 5.237E-01, 1.270E+02, 3.831E+01, 9.719E-01
 9.800E+02, 5.130E-01, 5.202E-01, 1.287E+02, 3.784E+01, 9.516E-01
 9.901E+02, 5.059E-01, 5.362E-01, 1.254E+02, 3.727E+01, 9.700E-01
 1.000E+03, 5.141E-01, 5.343E-01, 1.217E+02, 3.694E+01, 1.008E+00
 1.010E+03, 5.306E-01, 5.261E-01, 1.221E+02, 3.738E+01, 1.035E+00
 1.020E+03, 5.235E-01, 5.411E-01, 1.240E+02, 3.755E+01, 1.030E+00
 1.030E+03, 5.285E-01, 5.329E-01, 1.265E+02, 4.044E+01, 1.059E+00
