s,C,C
Time,"Back","Front"
 6.6780000E+004, 5.0076245E+001, 1.4236445E+002
 6.7410000E+004, 5.0522140E+001, 1.4240524E+002
 6.8040000E+004, 5.0966886E+001, 1.4244563E+002
 6.8670000E+004, 5.1410448E+001, 1.4248564E+002
 6.9300000E+004, 5.1852794E+001, 1.4252527E+002
 6.9930000E+004, 5.2293895E+001, 1.4256453E+002
 7.0560000E+004, 5.2733722E+001, 1.4260343E+002
 7.1190000E+004, 5.3172248E+001, 1.4264198E+002
 7.1820000E+004, 5.3609448E+001, 1.4268019E+002
 7.2450000E+004, 5.4045297E+001, 1.4271806E+002
 7.3080000E+004, 5.4479774E+001, 1.4275561E+002
 7.3710000E+004, 5.4912856E+001, 1.4279285E+002
 7.4340000E+004, 5.5344523E+001, 1.4282977E+002
 7.4970000E+004, 5.5774758E+001, 1.4286639E+002
 7.5600000E+004, 5.6203541E+001, 1.4290272E+002
 7.6230000E+004, 5.6630856E+001, 1.4293875E+002
 7.6860000E+004, 5.7056688E+001, 1.4297451E+002
 7.7490000E+004, 5.7481022E+001, 1.4300998E+002
 7.8120000E+004, 5.7903844E+001, 1.4304518E+002
 7.8750000E+004, 5.8325142E+001, 1.4308012E+002
 7.9380000E+004, 5.8744904E+001, 1.4311480E+002
 8.0010000E+004, 5.9163118E+001, 1.4314922E+002
 8.0640000E+004, 5.9579775E+001, 1.4318340E+002
 8.1270000E+004, 5.9994865E+001, 1.4321732E+002
 8.1900000E+004, 6.0408379E+001, 1.4325101E+002
 8.2530000E+004, 6.0820310E+001, 1.4328446E+002
 8.3160000E+004, 6.1230649E+001, 1.4331768E+002
 8.3790000E+004, 6.1639391E+001, 1.4335068E+002
 8.4420000E+004, 6.2046530E+001, 1.4338345E+002
 8.5050000E+004, 6.2452059E+001, 1.4341599E+002
 8.5680000E+004, 6.2855975E+001, 1.4344833E+002
 8.6310000E+004, 6.3258272E+001, 1.4348045E+002
 8.6940000E+004, 6.3658946E+001, 1.4351236E+002
